peers;starttime;endtime;avarage_delay;variance;deviation;%cpu_usage;txkb/s;rxkb/s;kbmemfree;kbmemused
2;1513877021;1513877032;-0.69;0.2339;0.483632091574;21.081666666700002;350.695;4.92;4631297.33333;3441846.66667
4;1513877082;1513877093;0;0;0;40.435000000000002;888.018333333;7.175;4563224.33333;3509919.66667
6;1513877145;1513877156;0;0.0225;0.15;57.219166666699998;1369.1375;9.46666666667;4480849.0;3592295.0
8;1513877207;1513877218;0.768421052632;0.405789473684;0.637016070193;75.890833333300009;1728.80083333;11.4;4413708.0;3659436.0
10;1513877270;1513877281;13.7816091954;212.32822069;14.5714865642;96.727500000000006;2033.57333333;14.1458333333;4348191.33333;3724952.66667
12;1513877333;1513877350;153.929292929;21701.8582818;147.315505911;97.382777777780007;2030.60166667;18.5755555556;4281789.77778;3791354.22222
14;1513877396;1513877418;203.032608696;24869.2521435;157.699879973;97.579999999999998;1672.24;19.4613043478;4222796.69565;3850347.30435
16;1513877458;1513877481;191.989010989;30163.4859385;173.676382788;94.752499999999998;2008.86166667;24.8291666667;4166129.16667;3907014.83333
18;1513877528;1513877558;371.467391304;62011.0469261;249.020173733;97.07225806452;1710.34935484;26.7041935484;4119727.35484;3953416.64516
