timestamp;kbmemfree;kbmemused
2018-01-25 19:09:14 UTC;5661084;2404800
2018-01-25 19:09:15 UTC;5670660;2395224
2018-01-25 19:09:16 UTC;5698596;2367288
2018-01-25 19:09:17 UTC;5698312;2367572
2018-01-25 19:09:18 UTC;5698188;2367696
2018-01-25 19:09:19 UTC;5698188;2367696
2018-01-25 19:09:20 UTC;5721064;2344820
2018-01-25 19:09:21 UTC;5721252;2344632
2018-01-25 19:09:22 UTC;5721252;2344632
2018-01-25 19:09:23 UTC;5723388;2342496
2018-01-25 19:09:24 UTC;5724308;2341576
2018-01-25 19:09:25 UTC;5724284;2341600
2018-01-25 19:09:26 UTC;5724596;2341288
2018-01-25 19:09:27 UTC;5724712;2341172
2018-01-25 19:09:28 UTC;5724596;2341288
2018-01-25 19:09:29 UTC;5724148;2341736
2018-01-25 19:09:30 UTC;5724472;2341412
2018-01-25 19:09:31 UTC;5724348;2341536
2018-01-25 19:09:32 UTC;5724224;2341660
2018-01-25 19:09:33 UTC;5724224;2341660
2018-01-25 19:09:34 UTC;5724100;2341784
2018-01-25 19:09:35 UTC;5724100;2341784
2018-01-25 19:09:36 UTC;5724256;2341628
2018-01-25 19:09:37 UTC;5724288;2341596
2018-01-25 19:09:38 UTC;5724164;2341720
2018-01-25 19:09:39 UTC;5724164;2341720
2018-01-25 19:09:40 UTC;5724040;2341844
2018-01-25 19:09:41 UTC;5724072;2341812
2018-01-25 19:09:42 UTC;5723948;2341936
2018-01-25 19:09:43 UTC;5723948;2341936
2018-01-25 19:09:44 UTC;5721976;2343908
2018-01-25 19:09:45 UTC;5721964;2343920
2018-01-25 19:09:46 UTC;5722956;2342928
2018-01-25 19:09:47 UTC;5721700;2344184
2018-01-25 19:09:48 UTC;5720724;2345160
2018-01-25 19:09:49 UTC;5721056;2344828
2018-01-25 19:09:50 UTC;5721364;2344520
2018-01-25 19:09:51 UTC;5720244;2345640
2018-01-25 19:09:52 UTC;5719608;2346276
2018-01-25 19:09:53 UTC;5719856;2346028
2018-01-25 19:09:54 UTC;5720028;2345856
2018-01-25 19:09:55 UTC;5720104;2345780
2018-01-25 19:09:56 UTC;5720104;2345780
2018-01-25 19:09:57 UTC;5720104;2345780
2018-01-25 19:09:58 UTC;5720104;2345780
2018-01-25 19:09:59 UTC;5720104;2345780
2018-01-25 19:10:00 UTC;5720104;2345780
2018-01-25 19:10:01 UTC;5720104;2345780
2018-01-25 19:10:02 UTC;5720104;2345780
2018-01-25 19:10:03 UTC;5720104;2345780
2018-01-25 19:10:04 UTC;5720104;2345780
2018-01-25 19:10:05 UTC;5720072;2345812
2018-01-25 19:10:06 UTC;5720104;2345780
2018-01-25 19:10:07 UTC;5720260;2345624
2018-01-25 19:10:08 UTC;5720260;2345624
2018-01-25 19:10:09 UTC;5720260;2345624
2018-01-25 19:10:10 UTC;5713892;2351992
2018-01-25 19:10:11 UTC;5686532;2379352
2018-01-25 19:10:12 UTC;5691608;2374276
2018-01-25 19:10:13 UTC;5692980;2372904
2018-01-25 19:10:14 UTC;5692980;2372904
2018-01-25 19:10:15 UTC;5693104;2372780
2018-01-25 19:10:16 UTC;5693104;2372780
2018-01-25 19:10:17 UTC;5693228;2372656
2018-01-25 19:10:18 UTC;5692820;2373064
2018-01-25 19:10:19 UTC;5692696;2373188
2018-01-25 19:10:20 UTC;5692696;2373188
2018-01-25 19:10:21 UTC;5692696;2373188
2018-01-25 19:10:22 UTC;5692696;2373188
2018-01-25 19:10:23 UTC;5692696;2373188
2018-01-25 19:10:24 UTC;5692696;2373188
2018-01-25 19:10:25 UTC;5692572;2373312
2018-01-25 19:10:26 UTC;5692572;2373312
2018-01-25 19:10:27 UTC;5692636;2373248
2018-01-25 19:10:28 UTC;5692636;2373248
2018-01-25 19:10:29 UTC;5692636;2373248
2018-01-25 19:10:30 UTC;5692636;2373248
2018-01-25 19:10:31 UTC;5692512;2373372
2018-01-25 19:10:32 UTC;5692544;2373340
2018-01-25 19:10:33 UTC;5692512;2373372
2018-01-25 19:10:34 UTC;5692388;2373496
2018-01-25 19:10:35 UTC;5692388;2373496
2018-01-25 19:10:36 UTC;5692388;2373496
2018-01-25 19:10:37 UTC;5692388;2373496
2018-01-25 19:10:38 UTC;5692388;2373496
2018-01-25 19:10:39 UTC;5692388;2373496
2018-01-25 19:10:40 UTC;5692388;2373496
2018-01-25 19:10:41 UTC;5692388;2373496
2018-01-25 19:10:42 UTC;5692328;2373556
2018-01-25 19:10:43 UTC;5692080;2373804
2018-01-25 19:10:44 UTC;5692080;2373804
2018-01-25 19:10:45 UTC;5692080;2373804
2018-01-25 19:10:46 UTC;5691924;2373960
2018-01-25 19:10:47 UTC;5691956;2373928
2018-01-25 19:10:48 UTC;5691308;2374576
2018-01-25 19:10:49 UTC;5691336;2374548
2018-01-25 19:10:50 UTC;5691336;2374548
2018-01-25 19:10:51 UTC;5691336;2374548
2018-01-25 19:10:52 UTC;5714488;2351396
2018-01-25 19:10:53 UTC;5715364;2350520
2018-01-25 19:10:54 UTC;5714648;2351236
2018-01-25 19:10:55 UTC;5713640;2352244
2018-01-25 19:10:56 UTC;5714736;2351148
2018-01-25 19:10:57 UTC;5713516;2352368
2018-01-25 19:10:58 UTC;5713728;2352156
2018-01-25 19:10:59 UTC;5712664;2353220
2018-01-25 19:11:00 UTC;5713780;2352104
2018-01-25 19:11:01 UTC;5711780;2354104
2018-01-25 19:11:02 UTC;5711672;2354212
2018-01-25 19:11:03 UTC;5712664;2353220
2018-01-25 19:11:04 UTC;5712664;2353220
2018-01-25 19:11:05 UTC;5712540;2353344
2018-01-25 19:11:06 UTC;5712540;2353344
2018-01-25 19:11:07 UTC;5712416;2353468
2018-01-25 19:11:08 UTC;5712292;2353592
2018-01-25 19:11:09 UTC;5712416;2353468
2018-01-25 19:11:10 UTC;5712416;2353468
2018-01-25 19:11:11 UTC;5712664;2353220
2018-01-25 19:11:12 UTC;5712540;2353344
2018-01-25 19:11:13 UTC;5712540;2353344
2018-01-25 19:11:14 UTC;5712168;2353716
2018-01-25 19:11:15 UTC;5712012;2353872
2018-01-25 19:11:16 UTC;5711952;2353932
2018-01-25 19:11:17 UTC;5711920;2353964
2018-01-25 19:11:18 UTC;5711796;2354088
2018-01-25 19:11:19 UTC;5711796;2354088
2018-01-25 19:11:20 UTC;5711796;2354088
2018-01-25 19:11:21 UTC;5711672;2354212
2018-01-25 19:11:22 UTC;5711672;2354212
2018-01-25 19:11:23 UTC;5711672;2354212
2018-01-25 19:11:24 UTC;5711548;2354336
2018-01-25 19:11:25 UTC;5711548;2354336
2018-01-25 19:11:26 UTC;5711548;2354336
2018-01-25 19:11:27 UTC;5711548;2354336
2018-01-25 19:11:28 UTC;5711548;2354336
2018-01-25 19:11:29 UTC;5711548;2354336
2018-01-25 19:11:30 UTC;5711424;2354460
2018-01-25 19:11:31 UTC;5711424;2354460
2018-01-25 19:11:32 UTC;5711300;2354584
2018-01-25 19:11:33 UTC;5711300;2354584
2018-01-25 19:11:34 UTC;5711300;2354584
2018-01-25 19:11:35 UTC;5711208;2354676
2018-01-25 19:11:36 UTC;5711084;2354800
2018-01-25 19:11:37 UTC;5711052;2354832
2018-01-25 19:11:38 UTC;5711052;2354832
2018-01-25 19:11:39 UTC;5711052;2354832
2018-01-25 19:11:40 UTC;5711052;2354832
2018-01-25 19:11:41 UTC;5711052;2354832
2018-01-25 19:11:42 UTC;5710556;2355328
2018-01-25 19:11:43 UTC;5710556;2355328
2018-01-25 19:11:44 UTC;5710588;2355296
2018-01-25 19:11:45 UTC;5710556;2355328
2018-01-25 19:11:46 UTC;5710432;2355452
2018-01-25 19:11:47 UTC;5710432;2355452
2018-01-25 19:11:48 UTC;5710308;2355576
2018-01-25 19:11:49 UTC;5710308;2355576
