# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2018-01-25 19:09:59 UTC;enp0s20f0u1u3;61,00;108,00;6,43;21,62;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:00 UTC;enp0s20f0u1u3;62,00;109,00;6,52;22,02;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:01 UTC;enp0s20f0u1u3;61,00;108,00;6,83;21,49;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:02 UTC;enp0s20f0u1u3;56,00;105,00;5,89;21,35;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:03 UTC;enp0s20f0u1u3;64,00;113,00;6,88;22,38;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:04 UTC;enp0s20f0u1u3;66,00;110,00;7,05;21,74;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:05 UTC;enp0s20f0u1u3;66,00;110,00;7,10;22,04;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:06 UTC;enp0s20f0u1u3;58,00;104,00;6,21;21,26;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:07 UTC;enp0s20f0u1u3;58,00;106,00;6,11;21,45;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:08 UTC;enp0s20f0u1u3;67,00;114,00;7,12;22,40;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:09 UTC;enp0s20f0u1u3;57,00;107,00;6,18;21,52;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:10 UTC;enp0s20f0u1u3;63,00;110,00;6,75;22,12;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:11 UTC;enp0s20f0u1u3;59,00;106,00;6,19;21,39;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:12 UTC;enp0s20f0u1u3;60,00;106,00;6,22;21,45;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:13 UTC;enp0s20f0u1u3;70,00;114,00;7,87;22,52;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:14 UTC;enp0s20f0u1u3;61,00;108,00;7,10;21,54;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:15 UTC;enp0s20f0u1u3;61,00;110,00;6,48;22,04;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:16 UTC;enp0s20f0u1u3;56,00;105,00;6,07;21,42;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:17 UTC;enp0s20f0u1u3;61,00;110,00;6,56;21,92;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:18 UTC;enp0s20f0u1u3;65,00;114,00;6,98;22,40;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:19 UTC;enp0s20f0u1u3;60,00;107,00;6,18;21,42;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:20 UTC;enp0s20f0u1u3;61,00;110,00;6,52;22,07;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:21 UTC;enp0s20f0u1u3;61,00;111,00;6,54;22,22;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:22 UTC;enp0s20f0u1u3;63,00;114,00;7,00;22,49;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:23 UTC;enp0s20f0u1u3;63,00;108,00;6,63;21,36;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:24 UTC;enp0s20f0u1u3;66,00;113,00;7,23;22,53;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:25 UTC;enp0s20f0u1u3;67,00;111,00;7,45;21,94;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:26 UTC;enp0s20f0u1u3;55,00;108,00;5,95;22,05;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:27 UTC;enp0s20f0u1u3;61,00;104,00;6,31;21,08;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:28 UTC;enp0s20f0u1u3;74,00;124,00;9,78;25,79;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:29 UTC;enp0s20f0u1u3;59,00;110,00;6,21;22,14;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:30 UTC;enp0s20f0u1u3;63,00;106,00;6,55;21,36;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:31 UTC;enp0s20f0u1u3;66,00;108,00;7,04;21,65;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:32 UTC;enp0s20f0u1u3;64,00;107,00;6,58;21,02;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:33 UTC;enp0s20f0u1u3;64,00;112,00;6,84;22,11;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:34 UTC;enp0s20f0u1u3;62,00;115,00;6,44;23,12;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:35 UTC;enp0s20f0u1u3;66,00;105,00;7,28;20,72;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:36 UTC;enp0s20f0u1u3;60,00;107,00;6,19;22,04;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:37 UTC;enp0s20f0u1u3;60,00;110,00;6,35;22,34;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:38 UTC;enp0s20f0u1u3;66,00;104,00;7,01;20,50;0,00;0,00;0,00;0,02
