timestamp;%idle
2018-01-25 19:09:14 UTC;98,50
2018-01-25 19:09:15 UTC;93,48
2018-01-25 19:09:16 UTC;94,24
2018-01-25 19:09:17 UTC;99,50
2018-01-25 19:09:18 UTC;99,50
2018-01-25 19:09:19 UTC;99,75
2018-01-25 19:09:20 UTC;99,50
2018-01-25 19:09:21 UTC;99,25
2018-01-25 19:09:22 UTC;99,50
2018-01-25 19:09:23 UTC;96,99
2018-01-25 19:09:24 UTC;97,74
2018-01-25 19:09:25 UTC;98,25
2018-01-25 19:09:26 UTC;99,50
2018-01-25 19:09:27 UTC;98,75
2018-01-25 19:09:28 UTC;99,00
2018-01-25 19:09:29 UTC;99,50
2018-01-25 19:09:30 UTC;99,50
2018-01-25 19:09:31 UTC;99,75
2018-01-25 19:09:32 UTC;99,25
2018-01-25 19:09:33 UTC;99,50
2018-01-25 19:09:34 UTC;99,50
2018-01-25 19:09:35 UTC;99,25
2018-01-25 19:09:36 UTC;99,25
2018-01-25 19:09:37 UTC;99,50
2018-01-25 19:09:38 UTC;99,50
2018-01-25 19:09:39 UTC;99,75
2018-01-25 19:09:40 UTC;99,00
2018-01-25 19:09:41 UTC;99,25
2018-01-25 19:09:42 UTC;99,25
2018-01-25 19:09:43 UTC;99,50
2018-01-25 19:09:44 UTC;97,01
2018-01-25 19:09:45 UTC;97,22
2018-01-25 19:09:46 UTC;96,99
2018-01-25 19:09:47 UTC;96,25
2018-01-25 19:09:48 UTC;95,97
2018-01-25 19:09:49 UTC;95,99
2018-01-25 19:09:50 UTC;96,48
2018-01-25 19:09:51 UTC;95,97
2018-01-25 19:09:52 UTC;95,99
2018-01-25 19:09:53 UTC;96,23
2018-01-25 19:09:54 UTC;97,47
2018-01-25 19:09:55 UTC;96,01
2018-01-25 19:09:56 UTC;96,73
2018-01-25 19:09:57 UTC;96,51
2018-01-25 19:09:58 UTC;96,73
2018-01-25 19:09:59 UTC;96,98
2018-01-25 19:10:00 UTC;96,24
2018-01-25 19:10:01 UTC;96,74
2018-01-25 19:10:02 UTC;97,23
2018-01-25 19:10:03 UTC;97,49
2018-01-25 19:10:04 UTC;97,75
2018-01-25 19:10:05 UTC;97,74
2018-01-25 19:10:06 UTC;98,24
2018-01-25 19:10:07 UTC;97,74
2018-01-25 19:10:08 UTC;97,25
2018-01-25 19:10:09 UTC;98,48
2018-01-25 19:10:10 UTC;96,73
2018-01-25 19:10:11 UTC;92,21
2018-01-25 19:10:12 UTC;91,69
2018-01-25 19:10:13 UTC;97,50
2018-01-25 19:10:14 UTC;98,49
2018-01-25 19:10:15 UTC;97,74
2018-01-25 19:10:16 UTC;98,24
2018-01-25 19:10:17 UTC;97,99
2018-01-25 19:10:18 UTC;97,74
2018-01-25 19:10:19 UTC;98,24
2018-01-25 19:10:20 UTC;97,99
2018-01-25 19:10:21 UTC;97,73
2018-01-25 19:10:22 UTC;97,99
2018-01-25 19:10:23 UTC;98,24
2018-01-25 19:10:24 UTC;97,99
2018-01-25 19:10:25 UTC;97,99
2018-01-25 19:10:26 UTC;98,49
2018-01-25 19:10:27 UTC;97,99
2018-01-25 19:10:28 UTC;98,23
2018-01-25 19:10:29 UTC;98,74
2018-01-25 19:10:30 UTC;98,25
2018-01-25 19:10:31 UTC;98,24
2018-01-25 19:10:32 UTC;98,48
2018-01-25 19:10:33 UTC;97,75
2018-01-25 19:10:34 UTC;98,49
2018-01-25 19:10:35 UTC;97,99
2018-01-25 19:10:36 UTC;98,49
2018-01-25 19:10:37 UTC;97,99
2018-01-25 19:10:38 UTC;98,24
2018-01-25 19:10:39 UTC;98,24
2018-01-25 19:10:40 UTC;97,99
2018-01-25 19:10:41 UTC;98,49
2018-01-25 19:10:42 UTC;98,24
2018-01-25 19:10:43 UTC;97,26
2018-01-25 19:10:44 UTC;98,24
2018-01-25 19:10:45 UTC;97,99
2018-01-25 19:10:46 UTC;98,48
2018-01-25 19:10:47 UTC;97,99
2018-01-25 19:10:48 UTC;97,74
2018-01-25 19:10:49 UTC;98,24
2018-01-25 19:10:50 UTC;97,74
2018-01-25 19:10:51 UTC;97,99
2018-01-25 19:10:52 UTC;97,23
2018-01-25 19:10:53 UTC;96,25
2018-01-25 19:10:54 UTC;96,71
2018-01-25 19:10:55 UTC;95,72
2018-01-25 19:10:56 UTC;96,47
2018-01-25 19:10:57 UTC;95,48
2018-01-25 19:10:58 UTC;95,72
2018-01-25 19:10:59 UTC;94,72
2018-01-25 19:11:00 UTC;95,49
2018-01-25 19:11:01 UTC;93,94
2018-01-25 19:11:02 UTC;94,00
2018-01-25 19:11:03 UTC;95,72
2018-01-25 19:11:04 UTC;95,74
2018-01-25 19:11:05 UTC;95,72
2018-01-25 19:11:06 UTC;95,98
2018-01-25 19:11:07 UTC;96,21
2018-01-25 19:11:08 UTC;95,48
2018-01-25 19:11:09 UTC;95,73
2018-01-25 19:11:10 UTC;95,98
2018-01-25 19:11:11 UTC;95,72
2018-01-25 19:11:12 UTC;95,97
2018-01-25 19:11:13 UTC;96,72
2018-01-25 19:11:14 UTC;96,73
2018-01-25 19:11:15 UTC;97,22
2018-01-25 19:11:16 UTC;96,74
2018-01-25 19:11:17 UTC;97,72
2018-01-25 19:11:18 UTC;96,50
2018-01-25 19:11:19 UTC;96,73
