peers;starttime;endtime;avarage_delay;variance;deviation;%cpu_usage;txkb/s;rxkb/s;kbmemfree;kbmemused
10;1516905451;1516905462;0.428571428571;0.330304081633;0.574720872801;10.909999999999997;130.364166667;7.15666666667;6566360.33333;1499523.66667
20;1516905523;1516905534;1.39;0.3179;0.56382621436;16.801666666700001;263.026666667;13.1708333333;6505503.33333;1560380.66667
30;1516905598;1516905609;2.27;0.2371;0.486929152958;23.203333333299994;396.425;20.9283333333;6441738.66667;1624145.33333
40;1516905674;1516905685;3.23232323232;0.340731313131;0.583721948475;29.284166666700003;527.63;26.5133333333;6393341.0;1672543.0
50;1516905753;1516905764;4.81914893617;0.493165957447;0.702257757128;34.995833333299998;647.609166667;32.915;6321204.0;1744680.0
60;1516905867;1516905878;7.59;0.4819;0.694190175672;47.7908333333;820.694166667;40.5616666667;5877849.66667;2188034.33333
70;1516905906;1516905917;10.2631578947;0.534294736842;0.730954674957;53.464166666700002;1002.75083333;47.2;6194191.0;1871693.0
80;1516905981;1516905992;12.6428571429;0.619569387755;0.787127300857;54.538333333300002;1036.83833333;54.3133333333;5875533.66667;2190350.33333
90;1516906060;1516906071;15.16;1.0744;1.03653268159;56.438333333300001;1064.4;61.2591666667;5521792.33333;2544091.66667
100;1516906141;1516906152;17.3092783505;0.815250515464;0.902912241286;58.229166666700003;1094.59416667;69.8125;4423459.0;3642425.0
110;1516906227;1516906238;21.2680412371;2.46377010309;1.56964011897;60.045000000000002;1126.4025;75.6591666667;2547464.66667;5518419.33333
